osm_id,osm_code,osm_fclass,osm_name,osm_ref,osm_oneway,osm_maxspeed,osm_layer,osm_bridge,osm_tunnel,NO2points,NO2drives,NO2_ugm3,NOpoints,NOdrives,NO_ugm3,CO2points,CO2drives,CO2_mgm3,COpoints,COdrives,CO_mgm3,O3points,O3drives,O3_ugm3,PM25points,PM25drives,longitude,latitude,Observed_PM25,RF_Predicted_PM25,GB_Predicted_PM25,RF_Residual,GB_Residual
378882694,5122,residential,Hollybank Road,,B,30,0,False,False,81,18.0,0.991,108,24.0,-3.889,97,24.0,795.581,107,24.0,0.347,31,18.0,50.524,114,24.0,-6.2601502,53.36759775,4.433,4.369209999999993,5.314365200222476,0.06379000000000712,-0.8813652002224766
333905979,5114,secondary,North Road,R135,F,60,0,False,False,102,24.0,33.878,119,28.0,29.79,109,28.0,837.83,121,28.0,0.42,41,23.0,38.241,124,28.0,-6.30869765978542,53.401110582459225,8.963,8.268053333333336,8.045994309257031,0.694946666666663,0.9170056907429682
509685034,5114,secondary,,R139,F,60,0,False,False,70,20.0,57.399,84,25.0,-1.259,72,22.0,847.522,84,25.0,0.347,28,17.0,24.92,91,26.0,-6.209078408376285,53.40884887937401,9.398,11.67002999999995,11.214744303051482,-2.272029999999951,-1.8167443030514825
360792644,5141,service,,,F,10,0,False,False,94,21.0,15.494,107,24.0,-20.372,107,25.0,796.807,119,26.0,0.333,33,21.0,47.12,123,26.0,-6.297439071526031,53.34690720709501,6.509,6.556083333333326,6.341429004006034,-0.04708333333332604,0.16757099599396597
129924262,5115,tertiary,Ardlea Road,,B,50,0,False,False,227,21.0,14.622,251,24.0,12.393,242,24.0,829.735,249,24.0,0.503,83,21.0,42.125,260,24.0,-6.20619300389936,53.38369011592653,8.877,7.854193333333327,7.929252854849432,1.022806666666674,0.9477471451505686
531557904,5141,service,,,B,0,0,False,False,5,4.0,-8.801,9,6.0,-11.019,7,4.0,791.855,9,6.0,0.304,2,2.0,64.88,9,6.0,-6.2646440000000005,53.318375599999996,4.932,4.244013333333336,5.2563346005759195,0.6879866666666645,-0.3243346005759191
39245034,5122,residential,Eglinton Park,,B,50,0,False,False,24,1.0,8.026,24,1.0,-18.431,16,1.0,855.903,24,1.0,0.33,10,1.0,70.296,25,1.0,-6.235895356557425,53.31757801998727,3.567,4.4355233333333235,6.78994260373776,-0.8685233333333233,-3.22294260373776
3761301,5122,residential,Inver Road,,B,30,0,False,False,163,20.0,3.717,214,25.0,1.624,174,24.0,799.823,210,25.0,0.349,59,19.0,48.897,236,27.0,-6.29605079258407,53.36696085259619,6.549,5.764449999999994,5.338650322946317,0.7845500000000065,1.2103496770536832
3818670,5114,secondary,Swords Road,R132,B,50,0,False,False,688,31.0,36.67,885,38.0,57.962,740,37.0,832.181,883,38.0,0.421,259,31.0,43.41,927,37.0,-6.245136882191095,53.39715466039645,5.933,7.478183333333322,7.51278625895722,-1.5451833333333225,-1.5797862589572205
110403205,5122,residential,Ardoyne Mews,,B,50,0,False,False,2,2.0,1.411,4,4.0,-29.686,3,3.0,789.947,4,4.0,0.35,3,3.0,48.897,4,4.0,-6.240354063348764,53.3273359985493,5.169,5.489820000000001,6.006789493768781,-0.3208200000000012,-0.8377894937687813
379046138,5114,secondary,Toll Bridge Road,R131,B,50,0,False,False,169,48.0,27.805,170,49.0,8.99,192,57.0,823.29,229,64.0,0.402,67,46.0,38.351,233,63.0,-6.21858558926505,53.343430569464005,10.525,11.329159999999996,9.748547923547486,-0.804159999999996,0.7764520764525145
770982685,5141,service,,,B,0,0,False,False,19,16.0,27.911,22,18.0,-19.883,19,17.0,821.688,22,18.0,0.37,7,7.0,26.918,24,20.0,-6.210109798346457,53.35075831632853,9.165,9.440763333333333,8.530628109803288,-0.2757633333333338,0.6343718901967108
237676548,5135,tertiary_link,,,F,50,0,False,False,85,9.0,15.56,110,12.0,64.965,86,10.0,826.568,111,12.0,0.473,31,9.0,42.902,115,12.0,-6.2224613637021875,53.31389560495894,4.541,7.099199999999987,7.594581122210833,-2.558199999999987,-3.053581122210833
317675350,5122,residential,Killester Avenue,,B,30,0,False,False,67,13.0,3.643,80,16.0,-8.917,73,16.0,812.38,82,16.0,0.409,28,13.0,52.67,87,16.0,-6.2116849185330585,53.377272045327175,4.874,5.761713333333323,6.71168749915854,-0.8877133333333234,-1.8376874991585401
7988524,5122,residential,Newgrove Avenue,,B,30,0,False,False,216,13.0,3.005,271,18.0,-6.565,241,18.0,801.198,276,17.0,0.364,81,12.0,46.954,283,18.0,-6.2110412425144,53.332517814469135,6.295,6.713889999999996,6.625373316879552,-0.41888999999999577,-0.33037331687955174
110920381,5114,secondary,Vernon Avenue,R808,B,50,0,False,False,238,23.0,0.177,279,25.0,1.305,261,26.0,819.854,284,26.0,0.391,93,23.0,54.269,297,26.0,-6.195486832814613,53.362947969584795,7.043,7.212396666666667,7.138508747047881,-0.16939666666666664,-0.09550874704788104
22954633,5122,residential,Holly Road,,B,50,0,False,False,18,4.0,0.061,19,5.0,-16.129,19,4.0,808.174,19,5.0,0.369,7,2.0,57.795,20,5.0,-6.222223951770367,53.37568184141225,7.613,10.210566666666647,7.620040921260575,-2.597566666666647,-0.007040921260574429
228499721,5141,service,,,B,0,0,False,False,8,5.0,19.01,9,6.0,2.534,8,6.0,827.61,9,7.0,0.42,4,4.0,50.117,10,7.0,-6.222871821857604,53.33172078244933,8.472,7.162846666666668,8.158515052220345,1.3091533333333318,0.31348494777965463
59464506,5115,tertiary,Tolka Quay Road,,F,50,0,False,False,58,14.0,49.148,61,15.0,22.054,52,15.0,833.886,61,15.0,0.368,23,14.0,33.912,66,16.0,-6.2124018928571445,53.35190077857145,11.846,11.447796666666687,10.834641614767033,0.3982033333333135,1.0113583852329668
7990850,5122,residential,Gracefield Avenue,,B,30,0,False,False,86,13.0,-1.572,89,14.0,-2.272,79,13.0,792.753,89,14.0,0.33,34,13.0,45.899,102,15.0,-6.194282121428917,53.38241323613826,5.905,6.124219999999993,6.253060373538215,-0.21921999999999287,-0.34806037353821484
