Feature,Importance
osm_name_Peter Street,0.0
osm_name_Peter's Row,0.0
osm_name_Peterson's Court,0.0
osm_name_Phelan Park,0.0
osm_name_Phibsboro Shopping Centre,0.0
osm_name_Phibsborough,0.0
osm_name_Raheny Park,0.0
osm_name_Philipsburgh Avenue,0.0
osm_name_Philipsburgh Terrace,0.0
osm_name_Phoenix Lane,0.0
osm_name_Phoenix Manor,0.0
osm_name_Phoenix Street North,0.0
osm_name_Adair Lane,0.0
osm_name_Pim Street,0.0
osm_name_Pimlico,0.0
osm_name_Pine Road,0.0
osm_name_Pinebrook Drive,0.0
osm_name_Pinewood Avenue,0.0
osm_name_Phibsborough Road,0.0
osm_name_Parnell Place,0.0
osm_name_Parnell Square East,0.0
osm_name_Parnell Square North,0.0
osm_name_Parnell Square West,0.0
osm_name_Parnell Street,0.0
osm_name_Patrick Street,0.0
osm_name_Patrickswell Place,0.0
osm_name_Paul Street,0.0
osm_name_Pearse College,0.0
osm_name_Pearse Grove,0.0
osm_name_Pearse House,0.0
osm_name_Penrose Street,0.0
osm_name_Pearse Street,0.0
osm_name_Pembroke Cottages,0.0
osm_name_Pembroke Gardens,0.0
osm_name_Pembroke Lane,0.0
osm_name_Pembroke Park,0.0
osm_name_Pembroke Place,0.0
osm_name_Pembroke Road,0.0
osm_name_Pembroke Row,0.0
osm_name_Pembroke Street,0.0
osm_name_Pembroke Street Lower,0.0
osm_name_Pembroke Street Upper,0.0
osm_name_Pearse Square,0.0
osm_name_Primrose Street,0.0
osm_name_Prince of Wales Terrace,0.0
osm_name_Prince's Street South,0.0
osm_name_Priorswood Road,0.0
osm_name_Priory Road,0.0
osm_name_Promenade Road,0.0
osm_name_Prospect Avenue,0.0
osm_name_Prospect Road,0.0
osm_name_Prospect Square,0.0
osm_name_Prospect Way,0.0
osm_name_Pinewood Crescent,0.0
osm_name_Prussia Street,0.0
osm_name_Purser Gardens,0.0
osm_name_Quarry Road,0.0
osm_name_Queen Street,0.0
osm_name_Quinn's Lane,0.0
osm_name_Radeliff Hall,0.0
osm_name_Rafter's Lane,0.0
osm_name_Rafter's Road,0.0
osm_name_Raglan Lane,0.0
osm_name_Raglan Road,0.0
osm_name_Raheen Park,0.0
osm_name_Proud's Lane,0.0
osm_name_Pinewood Drive,0.0
osm_name_Pleasants Lane,0.0
osm_name_Pleasants Place,0.0
osm_name_Pleasants Street,0.0
osm_name_Plunkett Avenue,0.0
osm_name_Plunkett Green,0.0
osm_name_Poddle Close,0.0
osm_name_Poddle Park,0.0
osm_name_Poolbeg Street,0.0
osm_name_Poplar Row,0.0
osm_name_Poppintree Parade,0.0
osm_name_Primrose Grove,0.0
osm_name_Portland Place,0.0
osm_name_Portland Row,0.0
osm_name_Portland Street North,0.0
osm_name_Portobello Harbour,0.0
osm_name_Portobello Road,0.0
osm_name_Portside Court,0.0
osm_name_Power's Court,0.0
osm_name_Powerscourt,0.0
osm_name_Preston Street,0.0
osm_name_Price's Lane,0.0
osm_name_Primrose Avenue,0.0
osm_name_Poppintree Park Road,0.0
osm_name_Longwood Avenue,0.0
osm_name_Lorcan Avenue,0.0
osm_name_Lorcan Crescent,0.0
osm_name_Lorcan Drive,0.0
osm_name_Lorcan Green,0.0
osm_name_Lorcan O'Toole Park,0.0
osm_name_Lorcan Road,0.0
osm_name_Lord Edward Street,0.0
osm_name_Loreto Road,0.0
osm_name_Louis Lane,0.0
osm_name_Robinson's Court,0.0
osm_name_Love Lane East,0.0
osm_name_Luby Road,0.0
osm_name_Lucan Road,0.0
osm_name_Lucky Lane,0.0
osm_name_Luke Kelly Bridge,0.0
osm_name_Luke Street,0.0
osm_name_Lullymore Terrace,0.0
osm_name_Lurgan Street,0.0
osm_name_Lyndon Gate,0.0
osm_name_Mabbot Lane,0.0
osm_name_Mabel Street,0.0
osm_name_Love Lane,0.0
osm_name_Liscannor Road,0.0
osm_name_Lisle Road,0.0
osm_name_Lismore Road,0.0
osm_name_Lissadel Avenue,0.0
osm_name_Lissadel Court,0.0
osm_name_Lissadel Road,0.0
osm_name_Little Britain Street,0.0
osm_name_Little Green Street,0.0
osm_name_Little Strand Street,0.0
osm_name_Litton Lane,0.0
osm_name_Loftus Lane,0.0
osm_name_Longford Street Little,0.0
osm_name_Lombard Street East,0.0
osm_name_Lombard Street West,0.0
osm_name_Lomond Avenue,0.0
osm_name_London Bridge,0.0
osm_name_Londonbridge Road,0.0
osm_name_Long Lane,0.0
osm_name_Long Mile Road,0.0
osm_name_Long's Place,0.0
osm_name_Longdale Terrace,0.0
osm_name_Longford Bridge,0.0
osm_name_Longford Street Great,0.0
osm_name_Lombard Court,0.0
osm_name_Marine Drive,0.0
osm_name_Marine School Walk,0.0
osm_name_Marino Avenue,0.0
osm_name_Marino Green,0.0
osm_name_Marino Mart,0.0
osm_name_Marino Park,0.0
osm_name_Marino Park Avenue,0.0
osm_name_Marion Villas,0.0
osm_name_Mark Street,0.0
osm_name_Mark's Alley West,0.0
osm_name_MacMahon Bridge,0.0
osm_name_Market Street South,0.0
osm_name_Marlborough Place,0.0
osm_name_Marlborough Road,0.0
osm_name_Marlborough Street,0.0
osm_name_Marne Villas,0.0
osm_name_Marrowbone Lane,0.0
osm_name_Marrowbone Lane Close,0.0
osm_name_Martello Mews,0.0
osm_name_Martello View,0.0
osm_name_Martin Savage Park,0.0
osm_name_Martin Street,0.0
osm_name_Mark's Lane,0.0
osm_name_Macken Street,0.0
osm_name_Macquay's Bridge,0.0
osm_name_Macroom Avenue,0.0
osm_name_Madden Road,0.0
osm_name_Madden's Court,0.0
osm_name_Magennis Place,0.0
osm_name_Magennis Square,0.0
osm_name_Magenta Crescent,0.0
osm_name_Magenta Hall,0.0
osm_name_Maiden Row,0.0
osm_name_Main Street,0.0
osm_name_Marguerite Road,0.0
osm_name_Mallin Avenue,0.0
osm_name_Malpas Street,0.0
osm_name_Adare Green,0.0
osm_name_Mangerton Road,0.0
osm_name_Mannix Road,0.0
osm_name_Manor House View,0.0
osm_name_Manor Place,0.0
osm_name_Manor Street,0.0
osm_name_Maolbuille Road,0.0
osm_name_Marewood Crescent,0.0
osm_name_Margaret Place,0.0
osm_name_Malahide Road,0.0
osm_name_LANSDOWNE SQUARE,0.0
osm_name_La Touche Bridge,0.0
osm_name_La Touche Road,0.0
osm_name_La Vista Avenue,0.0
osm_name_Lad Lane,0.0
osm_name_Lady's Lane,0.0
osm_name_Lagan Road,0.0
osm_name_Lakelands Park,0.0
osm_name_Lally Road,0.0
osm_name_Lamb Alley,0.0
osm_name_Linenhall Terrace,0.0
osm_name_Landen Road,0.0
osm_name_Lansdowne Lane,0.0
osm_name_Lansdowne Park,0.0
osm_name_Lansdowne Road,0.0
osm_name_Lansdowne Village,0.0
osm_name_Laracor Gardens,0.0
osm_name_Larch Grove,0.0
osm_name_Larkfield Avenue,0.0
osm_name_Larkfield Gardens,0.0
osm_name_Larkfield Grove,0.0
osm_name_Larkfield Park,0.0
osm_name_Lambay Road,0.0
osm_name_Kincora Grove,0.0
osm_name_Kincora Walk,0.0
osm_name_King's Inn's Street,0.0
osm_name_King's Inns Court,0.0
osm_name_Kingram Place,0.0
osm_name_Kingsland Parade,0.0
osm_name_Kingsland Park Avenue,0.0
osm_name_Kingston Lodge,0.0
osm_name_Kinvara Avenue,0.0
osm_name_Kirwan Street,0.0
osm_name_Kirwan Street Cottages,0.0
osm_name_Kylemore Way,0.0
osm_name_Knockmaroon Hill,0.0
osm_name_Knocknarea Avenue,0.0
osm_name_Knocknarea Road,0.0
osm_name_Knowth Court,0.0
osm_name_Kylemore Avenue,0.0
osm_name_Kylemore Drive,0.0
osm_name_Adare Road,0.0
osm_name_Kylemore Park North,0.0
osm_name_Kylemore Park South,0.0
osm_name_Kylemore Park West,0.0
osm_name_Kylemore Road,0.0
osm_name_Knockmaree,0.0
osm_name_Leinster Road,0.0
osm_name_Leinster Road West,0.0
osm_name_Leinster Square,0.0
osm_name_Leinster Street East,0.0
osm_name_Leinster Street North,0.0
osm_name_Leinster Street South,0.0
osm_name_Leix Road,0.0
osm_name_Lennox Place,0.0
osm_name_Lennox Street,0.0
osm_name_Lennox Terrace,0.0
osm_name_Larkhill Road,0.0
osm_name_Leo Street,0.0
osm_name_Liam Whelan Bridge,0.0
osm_name_Liberty House,0.0
osm_name_Liberty Lane,0.0
osm_name_Liffey Street Lower,0.0
osm_name_Liffey Street West,0.0
osm_name_Lime Street,0.0
osm_name_Lincoln Lane,0.0
osm_name_Lincoln Place,0.0
osm_name_Lindsay Road,0.0
osm_name_Linenhall Street,0.0
osm_name_Leo Avenue,0.0
osm_name_Laurence Court,0.0
osm_name_Lavarna Grove,0.0
osm_name_Adare Park,0.0
osm_name_Lazer Lane,0.0
osm_name_Le Bas Terrace,0.0
osm_name_Le Fanu Road,0.0
osm_name_Le Vere Terrace,0.0
osm_name_Lea Crescent,0.0
osm_name_Lea Road,0.0
osm_name_Leahy's Terrace,0.0
osm_name_Lee Road,0.0
osm_name_Leinster Park,0.0
osm_name_Leeson Park,0.0
osm_name_Leeson Street Lower,0.0
osm_name_Leeson Street Upper,0.0
osm_name_Leeson Village,0.0
osm_name_Leicester Avenue,0.0
osm_name_Leighlin Road,0.0
osm_name_Lein Gardens,0.0
osm_name_Lein Park,0.0
osm_name_Lein Road;Ribh Avenue,0.0
osm_name_Leinster Avenue,0.0
osm_name_Leinster Market,0.0
osm_name_Leeson Lane,0.0
osm_name_Montpellier Drive,0.0
osm_name_Montrose Avenue,0.0
osm_name_Montrose Crescent,0.0
osm_name_Montrose Grove,0.0
osm_name_Montrose Park,0.0
osm_name_Moore Lane,0.0
osm_name_Moran's Cottages,0.0
osm_name_Morehampton Lane,0.0
osm_name_Morehampton Road,0.0
osm_name_Morehampton Terrace,0.0
osm_name_Martin's Row,0.0
osm_name_Mornington Grove,0.0
osm_name_Mornington Park,0.0
osm_name_Morrogh Terrace,0.0
osm_name_Moss Street,0.0
osm_name_Mount Argus Grove,0.0
osm_name_Mount Argus Road,0.0
osm_name_Mount Argus View,0.0
osm_name_Mount Brown,0.0
osm_name_Mount Drummond Avenue,0.0
osm_name_Mount Drummond Court,0.0
osm_name_Mount Drummond Square,0.0
osm_name_Morning Star Avenue,0.0
osm_name_Millmount Villas,0.0
osm_name_Milltown Hill,0.0
osm_name_Milltown Path,0.0
osm_name_Milltown Road,0.0
osm_name_Millwood Park,0.0
osm_name_Millwood Villas,0.0
osm_name_Milner's Square,0.0
osm_name_Misery Hill,0.0
osm_name_Moat Lane,0.0
osm_name_Moatfield Avenue,0.0
osm_name_Moatfield Park,0.0
osm_name_Montpelier Hill,0.0
osm_name_Moatview Drive,0.0
osm_name_Moeran Road,0.0
osm_name_Moira Road,0.0
osm_name_Moland Place,0.0
osm_name_Molesworth Place,0.0
osm_name_Molesworth Street,0.0
osm_name_Monasterboice Road,0.0
osm_name_Monck Place,0.0
osm_name_Montague Lane,0.0
osm_name_Montague Street,0.0
osm_name_Montpelier Gardens,0.0
osm_name_Moatfield Road,0.0
osm_name_Mountpleasant Parade,0.0
osm_name_Mountpleasant Place,0.0
osm_name_Mountpleasant Terrace,0.0
osm_name_Mountshannon Road,0.0
osm_name_Mourne Road,0.0
osm_name_Moy Ellta Road,0.0
osm_name_Moyle Road,0.0
